Ticker,Strategy CAGR (%),B&H CAGR (%),Strategy Sharpe,B&H Sharpe,Strategy MaxDD (%),B&H MaxDD (%),Strategy Final (Rs),B&H Final (Rs),Market Exposure (%),Trades
ICICIBANK,18.65,41.21,0.74,1.3,-20.25,-26.35,4.3582,19.4981,47.4,6
BAJAJFINSV,17.57,45.29,0.63,1.28,-35.52,-27.96,4.0295,24.912,43.7,6
HDFCAMC,17.17,44.34,0.71,1.45,-14.36,-18.02,3.9108,23.5534,44.7,7
ICICIPRU,15.61,48.18,0.6,1.59,-19.24,-22.2,3.4852,29.523,51.2,11
TATASTEEL,15.06,43.98,0.49,1.17,-28.07,-34.22,3.3449,23.0434,44.5,6
ADANIPORTS,14.08,32.08,0.5,0.92,-24.96,-44.75,3.1075,10.9653,35.6,6
ASIANPAINT,11.95,21.92,0.62,0.81,-7.83,-24.41,2.6428,5.5085,20.2,2
LT,10.94,28.16,0.39,0.98,-21.1,-30.44,2.444,8.4617,34.9,4
HCLTECH,10.92,38.54,0.39,1.32,-18.05,-20.87,2.4404,16.5438,36.8,9
AMBUJACEM,10.08,30.71,0.34,1.05,-16.12,-25.92,2.2862,10.0242,30.9,5
ONGC,9.95,21.19,0.36,0.64,-13.82,-46.19,2.2617,5.228,19.2,3
BAJAJ-AUTO,9.48,23.77,0.31,0.84,-26.28,-29.42,2.1798,6.2683,28.0,6
SIEMENS,9.32,31.19,0.28,1.06,-20.68,-31.63,2.1541,10.3493,32.1,5
PIDILITIND,8.36,25.49,0.26,0.96,-13.75,-22.63,1.9963,7.0624,18.4,4
TATAMOTORS,8.0,29.49,0.17,0.79,-27.51,-43.11,1.9394,9.2462,24.2,6
TECHM,7.91,27.62,0.17,0.88,-20.66,-29.4,1.925,8.1594,27.1,11
EICHERMOT,7.83,33.08,0.16,1.04,-17.46,-25.0,1.9129,11.7031,37.0,9
INDUSINDBK,7.38,15.02,0.14,0.42,-20.65,-37.71,1.8463,3.3364,15.5,2
HDFCBANK,6.82,33.19,0.09,1.2,-17.96,-20.28,1.765,11.7913,28.9,6
BAJFINANCE,6.52,36.16,0.11,0.98,-28.34,-37.13,1.7218,14.2562,49.4,7
KOTAKBANK,6.38,27.94,0.04,0.98,-24.26,-20.33,1.7027,8.3368,24.1,4
TCS,6.15,26.21,0.02,0.99,-16.93,-21.54,1.6722,7.4172,23.3,3
RELIANCE,5.84,33.35,0.03,1.09,-27.98,-29.84,1.6297,11.9137,35.8,4
HEROMOTOCO,5.81,19.74,-0.04,0.7,-9.56,-35.71,1.6257,4.7159,16.4,3
BRITANNIA,5.71,31.32,-0.05,1.3,-11.4,-17.21,1.6125,10.4387,21.1,5
BHARTIARTL,5.63,33.84,0.02,1.02,-25.65,-27.77,1.6029,12.2887,32.8,7
WIPRO,5.09,31.6,-0.08,1.13,-19.64,-28.76,1.5335,10.6319,24.3,6
DIVISLAB,5.02,23.21,-0.05,0.75,-29.05,-47.83,1.5244,6.0303,26.1,6
NTPC,4.77,18.49,-0.15,0.65,-10.83,-34.11,1.4934,4.3079,17.4,5
HINDUNILVR,4.44,20.24,-0.3,0.8,-5.86,-32.26,1.4529,4.8869,10.7,3
HAVELLS,4.26,32.67,-0.17,1.09,-14.06,-24.17,1.4324,11.3943,18.5,7
TITAN,4.08,23.02,-0.16,0.73,-14.91,-22.5,1.4114,5.9493,20.3,6
DRREDDY,3.52,30.62,-0.24,1.11,-16.51,-25.31,1.3464,9.9687,21.4,8
ITC,3.27,23.6,-0.36,0.91,-11.2,-17.87,1.3189,6.1945,15.4,4
INFY,2.76,29.07,-0.39,1.03,-16.18,-20.94,1.2643,8.9954,15.4,3
SBIN,2.6,21.49,-0.19,0.62,-26.08,-46.07,1.2474,5.3417,24.3,5
MPHASIS,2.5,29.38,-0.28,0.92,-18.49,-36.65,1.2368,9.1841,20.4,7
ABB,2.04,24.38,-0.42,0.82,-17.23,-24.72,1.1898,6.5404,16.5,6
SUNPHARMA,1.94,13.76,-0.51,0.41,-18.02,-40.36,1.1799,3.0337,13.5,5
JSWSTEEL,1.4,8.82,-1.15,0.22,-8.08,-43.79,1.127,2.0703,2.9,2
SBILIFE,1.26,13.58,-0.48,0.4,-22.93,-46.58,1.1142,2.9932,16.5,6
AXISBANK,0.4,26.06,-0.39,0.78,-33.71,-43.96,1.035,7.3396,24.3,5
ULTRACEMCO,0.34,12.05,-0.87,0.33,-16.93,-44.82,1.0298,2.6619,7.7,3
DABUR,0.23,27.58,-1.18,1.17,-13.45,-21.35,1.0197,8.1378,8.8,5
POWERGRID,0.03,16.52,-2.57,0.59,-5.72,-26.47,1.0025,3.7297,2.0,1
BPCL,-0.34,21.13,-0.49,0.63,-30.74,-37.23,0.9711,5.207,20.5,8
MARUTI,-0.76,14.37,-1.96,0.44,-13.52,-39.14,0.9364,3.1776,2.9,1
CIPLA,-1.26,17.83,-1.84,0.62,-12.55,-23.92,0.8966,4.1046,4.6,4
NESTLEIND,-1.75,30.75,-1.35,1.38,-17.27,-13.55,0.8592,10.0554,13.4,6
BANDHANBNK,-3.83,12.08,-0.85,0.32,-40.99,-40.9,0.7148,2.6684,13.4,6
